Page post,,5Balance.app,,Link page,,,,,,,,CHÚ THÍCH,,
Tone & mood,,,,Frequency,,"1 post/day (P1); 3-4 post/week (P2, P3)",,,,,GIAI ĐOẠN,,,
Focusing,,Tối ưu hóa định dạng Content Tĩnh (Static Content),,,,,,,,,MỤC TIÊU,"Awareness, Lead Gen, Conversion",
,,Giải mã Bát tự & La bàn năng lượng để phát triển sự nghiệp và mối quan hệ,,,,,,,,,,,,
MONTH 1,Timeline,MONTH 1,,,,,,,,,,,
,,Week 1,,,Week 2,,,Week 3,,,Week 4,,
,Publish day,,,,,,,,,,,,,
,Pillar,Awareness,Awareness,Awareness,Awareness,Awareness,Awareness,Lead Gen,Lead Gen,Lead Gen,Lead Gen,Lead Gen,Lead Gen
,Angle,Sếp thuộc mệnh Hỏa hay Thủy?,Cảnh báo từ Vũ Trụ,Cupid AI: Tỷ lệ khắc khẩu 85%,Lý do sếp gạch bỏ dự án,Định nghĩa lại Burn-out / Red-flag,Hóa Đơn Tình Tiền: Sự Học & Sự Nghiệp,Hồ sơ ứng viên: Background xịn vs Sự thật,Sự giao thoa lệch pha,Bức tâm thư ẩn danh,Dấu hiệu cạn kiệt tài nguyên cá nhân,Mẹ ép con học vs Bố cho con học võ,Các kiểu nhân viên theo Ngũ hành
,Format,Single Image (Meme),Fake Notification Mockup,Fake Notification Mockup,Sarcastic Pie Chart,Dictionary Graphic,Mockup Hóa Đơn,Tinder Profile,Venn Diagram,Long-form Post + Image,Checklist Card,Bảng So Sánh Bất Đối Xứng,Typology Cards
,Objective,Kéo chú ý - scroll stopper,Kéo chú ý - scroll stopper,Kéo chú ý - scroll stopper,Kéo chú ý - scroll stopper,Kéo chú ý - scroll stopper,Kéo chú ý - scroll stopper,Giáo dục đổi Leads,Giáo dục đổi Leads,Giáo dục đổi Leads,Giáo dục đổi Leads,Giáo dục đổi Leads,Giáo dục đổi Leads
,Ads,PPE,PPE,PPE,PPE,PPE,PPE,Lead Gen / Traffic,Lead Gen / Traffic,Lead Gen / Traffic,Lead Gen / Traffic,Lead Gen / Traffic,Lead Gen / Traffic
,Link,,,,,,,,,,,,,
,Status,,,,,,,,,,,,,
,Details,P11 - Mũi tên mâu thuẫn,P03 P04 - Trễ nhịp đầu tư,P07 P08 - Khắc khẩu,P11 P12 - Sếp khắc từ trong máu,P01 P05 P09 - Lệch pha năng lượng,P03 P04 P12 - Hóa đơn đánh đổi sự nghiệp,P11 P12 - Bóc trần sự thật ứng viên,P07 P08 - Điểm cộng trừ ngũ hành,P09 - Đứng lên sau đổ vỡ,P01 P05 - Nhà tù bọc vàng,P10 - Đầu tư giáo dục đúng chỗ,P11 - Nhân sự Lười / Bùng nổ / Lì đòn
MONTH 2,Timeline,MONTH 2,,,,,,,,,,,
,,Week 1,,,Week 2,,,Week 3,,,Week 4,,
,Publish day,,,,,,,,,,,,,
,Pillar,Lead Gen,Lead Gen,Lead Gen,Lead Gen,Conversion,Conversion,Conversion,Conversion,Conversion,Conversion,Conversion,Conversion
,Angle,1 nỗ lực mù quáng vs Làm theo thế mạnh,Email đòi rút vốn trần trụi,Biểu đồ Pin Điện Thoại,Slide chuỗi giáo dục kiến thức,Làm sao buông bỏ một mối quan hệ?,Làm sao thoát cảnh lương cao stress?,Làm sao biết mình hợp làm quản lý?,Khoe giao diện Zeus Report 10-Year,Feedback tĩnh của người vượt qua giông bão,Biểu đồ Đường: Điểm rơi tài vận,Cắt lớp ảnh phân tích sự nghiệp,FOMO: Chốt sales 48H cuối
,Format,Carousel Before/After,Mockup Tin Nhắn/Email,Meme Comic 4 ô,Carousel Ads,Google Search Auto-complete,Google Search Auto-complete,Google Search Auto-complete,Report Snapshot,Image Ads + Text,Line Chart,Banner Quảng Cáo,Text + Banner (Đỏ)
,Objective,Giáo dục đổi Leads,Giáo dục đổi Leads,Giáo dục đổi Leads,Giáo dục đổi Leads,Sale chốt hạ,Sale chốt hạ,Sale chốt hạ,Sale chốt hạ,Sale chốt hạ,Sale chốt hạ,Sale chốt hạ,Sale chốt hạ
,Ads,Lead Gen / Traffic,Lead Gen / Traffic,Lead Gen / Traffic,Lead Gen / Traffic,Retargeting Conversion,Retargeting Conversion,Retargeting Conversion,Retargeting Conversion,Retargeting Conversion,Retargeting Conversion,Retargeting Conversion,Retargeting Conversion
,Link,,,,,,,,,,,,,
,Status,,,,,,,,,,,,,
,Details,P02 P04 - Đi ngược chiều sinh mệnh,P12 - Chọn sai rễ (đội ngũ),P13 - Kẻ hút sinh lực,Mọi tệp - Cung cấp framework chuẩn,P07 P08 - Khung tìm kiếm bế tắc,P01 P05 - Khung tìm kiếm bế tắc,P01 P05 - Gợi ý tìm kiếm,P03 P06 - Khoe Dashboard chi tiết,Mọi tệp - Feedback thực tế,P03 P06 - Dọa nhẹ khách hàng,Mọi tệp - Khoe Report phân tích,Mọi tệp - Giục tải 5Balance App
